fsa,name_/_area,nearest_airport_city,co2e_cdg_kg,co2e_lhr_kg,co2e_nrt_kg,co2e_set1_kg,co2e_set2_kg,cad1_cdg,cad1_lhr,cad1_nrt,cad1_set1,cad1_set2,cad2_cdg,cad2_lhr,cad2_nrt,cad2_set1,cad2_set2,cad3_cdg,cad3_lhr,cad3_nrt,cad3_set1,cad3_set2
T5N,Edmonton (Glenora / SW Downtown Fringe),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T5P,Edmonton (North Jasper Place),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T5R,Edmonton (Central Jasper Place / Buena Vista),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T5S,Edmonton (West Northwest Industrial / Winterburn),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T5T,Edmonton West (West Jasper Place / West Edmonton Mall),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T5V,Edmonton (Central Mistatim),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T5W,Edmonton (Central Beverly),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T5X,Edmonton (East Castledowns),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T5Y,Edmonton (Landbank / Oliver / East Lake District),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T5Z,Edmonton (West Lake District),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
