fsa,further_set,d1_name,d2_name,flight_dest_1,flight_dest_2,flight_dest_3,flight_dest_4,flight_dest_5
E4X,A,Quebec City QC (Old City),Saguenay / Chicoutimi QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E4Y,A,Quebec City QC (Old City),Saguenay / Chicoutimi QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E4Z,A,Quebec City QC (Old City),Sept-Îles QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E5A,A,Quebec City QC (Old City),Montreal QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E5B,A,Quebec City QC (Old City),Saguenay / Chicoutimi QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E5C,A,Quebec City QC (Old City),Cape Breton (Cabot Trail) NS,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E5E,A,Quebec City QC (Old City),Baie-Comeau QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E5G,A,Quebec City QC (Old City),Gaspé QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E5H,A,Quebec City QC (Old City),Saguenay / Chicoutimi QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E5J,A,Quebec City QC (Old City),Trois-Rivières QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E5K,A,Quebec City QC (Old City),Cape Breton (Cabot Trail) NS,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E5L,A,Quebec City QC (Old City),Cape Breton (Cabot Trail) NS,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E5M,A,Quebec City QC (Old City),Trois-Rivières QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E5N,A,Quebec City QC (Old City),Sherbrooke QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E5P,A,Quebec City QC (Old City),Sept-Îles QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E5R,A,Quebec City QC (Old City),Sherbrooke QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E5S,A,Quebec City QC (Old City),Sherbrooke QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E5T,A,Quebec City QC (Old City),Sherbrooke QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E5V,A,Quebec City QC (Old City),Saguenay / Chicoutimi QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E6A,A,Quebec City QC (Old City),Trois-Rivières QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E6B,A,Quebec City QC (Old City),Cape Breton (Cabot Trail) NS,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E6C,A,Quebec City QC (Old City),Cape Breton (Cabot Trail) NS,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E6E,A,Quebec City QC (Old City),Montreal QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E6G,A,Quebec City QC (Old City),Montreal QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E6H,A,Quebec City QC (Old City),Sept-Îles QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E6J,A,Quebec City QC (Old City),Montreal QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E6K,A,Quebec City QC (Old City),Cape Breton (Cabot Trail) NS,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E6L,A,Quebec City QC (Old City),Cape Breton (Cabot Trail) NS,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E7A,A,Quebec City QC (Old City),Halifax NS,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E7B,A,Quebec City QC (Old City),Halifax NS,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E7C,A,Quebec City QC (Old City),Montreal QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E7E,A,Quebec City QC (Old City),Montreal QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E7G,A,Quebec City QC (Old City),Îles de la Madeleine QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E7H,A,Quebec City QC (Old City),Montreal QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
